GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,RCPTOT,RCPTOT_S,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2012 NAICS code,Meaning of 2012 NAICS code,Id,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%)
0400000US15,15,Hawaii,,31-33,Manufacturing,,2015,11382,3.8,555756,4.3,7446,4.1,14695,5.1,334698,3.7,3893007,2.2,5904166,3.7,,,116653,10.0
0400000US15,15,Hawaii,,31-33,Manufacturing,,2014,11477,4.7,533834,4.5,7434,4.5,13765,4.0,309109,4.2,5029038,1.5,6370353,3.1,,,115920,8.7
0400000US16,16,Idaho,,31-33,Manufacturing,,2015,53479,0.9,3040940,0.7,39433,0.8,79319,0.9,1810378,0.7,11769663,0.9,20421041,0.8,8588072,1.2,1126646,0.7
0400000US16,16,Idaho,,31-33,Manufacturing,,2014,50936,0.8,2888328,0.7,38719,0.8,77699,0.9,1769226,0.7,12351987,0.7,21100960,0.5,8751593,0.9,865891,2.5
0400000US17,17,Illinois,,31-33,Manufacturing,,2015,541741,0.5,30905712,0.4,378812,0.5,779238,0.6,17290330,0.5,149402006,0.4,258510233,0.4,108599999,0.4,7439368,1.5
0400000US17,17,Illinois,,31-33,Manufacturing,,2014,536549,0.4,30340691,0.4,375502,0.4,770045,0.4,16913525,0.4,170765642,0.3,282326109,0.3,111872892,0.3,6723649,1.2
0400000US18,18,Indiana,,31-33,Manufacturing,,2015,473313,0.4,25599475,0.4,357123,0.4,738534,0.5,16619114,0.3,143238805,0.2,250418989,0.2,105755210,0.3,7487385,0.7
0400000US18,18,Indiana,,31-33,Manufacturing,,2014,465964,0.4,25204131,0.4,350524,0.3,725586,0.3,16275885,0.3,155450516,0.2,262881682,0.2,108537360,0.3,6750726,0.7
0400000US19,19,Iowa,,31-33,Manufacturing,,2015,207396,0.7,10788941,0.6,150367,0.7,305420,0.6,6516160,0.5,68916259,0.3,117583853,0.4,48847202,0.7,3956014,2.3
0400000US19,19,Iowa,,31-33,Manufacturing,,2014,205755,0.7,10568588,0.5,150297,0.8,302439,0.6,6404307,0.5,75700839,0.3,125538873,0.4,49829216,0.8,3913433,7.3
0400000US20,20,Kansas,,31-33,Manufacturing,,2015,160114,0.6,8934379,0.5,114603,0.7,232800,0.7,5452571,0.6,53428561,0.6,88193450,0.4,34517226,0.6,2722097,1.3
0400000US20,20,Kansas,,31-33,Manufacturing,,2014,161889,0.5,8767637,0.4,117531,0.5,238680,0.7,5504190,0.4,64111885,0.4,96237847,0.3,32513432,0.7,2648585,1.6
0400000US21,21,Kentucky,,31-33,Manufacturing,,2015,227359,0.7,12212298,1.5,176085,0.6,361756,0.5,8427771,0.5,86788258,0.3,133362336,0.7,46416175,1.7,4339504,1.5
0400000US21,21,Kentucky,,31-33,Manufacturing,,2014,219655,0.4,11240950,0.5,171342,0.4,349398,0.4,7826437,0.4,92073244,0.2,137157577,0.8,45338004,2.0,4034940,3.0
0400000US22,22,Louisiana,,31-33,Manufacturing,,2015,121084,0.7,8253875,0.6,86549,0.8,183885,0.8,5149808,0.7,123006130,0.1,174287872,0.1,49641898,0.3,8732755,0.8
0400000US22,22,Louisiana,,31-33,Manufacturing,,2014,125549,1.2,8284858,1.3,91088,1.1,193478,1.0,5229229,0.8,190873350,0.2,242774851,0.2,50396389,0.5,7191877,0.4
0400000US23,23,Maine,,31-33,Manufacturing,,2015,47638,1.0,2567184,0.6,35202,1.0,70790,1.0,1676580,0.7,8198192,0.5,15908502,0.5,7688833,0.7,534649,1.8
0400000US23,23,Maine,,31-33,Manufacturing,,2014,46764,0.8,2470429,0.6,34722,0.8,70638,0.8,1630796,0.6,8276416,0.4,16289844,0.4,8109758,0.7,448702,2.7
0400000US24,24,Maryland,,31-33,Manufacturing,,2015,94169,1.1,6031847,1.0,57995,1.3,115967,1.3,2742497,1.1,18382542,0.9,40222785,0.8,22018973,1.2,1314916,1.6
0400000US24,24,Maryland,,31-33,Manufacturing,,2014,92503,0.8,5830889,0.5,56698,1.1,113423,1.1,2602040,0.9,18128840,0.9,40025391,0.6,21849790,1.3,1220354,3.1
0400000US25,25,Massachusetts,,31-33,Manufacturing,,2015,226296,0.8,15446388,0.7,133171,0.8,269852,0.8,6697570,0.8,38312503,1.2,83616025,0.7,45709173,1.2,2516734,1.9
0400000US25,25,Massachusetts,,31-33,Manufacturing,,2014,221402,0.7,14684835,0.8,133029,0.8,270433,0.7,6605116,0.9,38626048,1.0,83056044,0.7,44879791,0.9,2434187,2.4
