GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,EMPAVPW,PAYANPW,HOURS,CSTMTOT,RCPTOT,VALADD,VALADD_S,CEXTOT,CEXTOT_S
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Id,Year,Number of paid employees for pay period including March 12,Relative standard error of total number of employees (%),"Annual payroll ($1,000)",Production workers avg per year,"Production workers wages ($1,000)","Production workers hours (1,000)","Total cost of materials ($1,000)","Total value of shipments ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%)
0100000US,,United States,,3324,"Boiler, tank, and shipping container manufacturing",,2011,76001,1,4283801,56439,2760980,117457,18673105,31992075,13483065,1,919041,1
0100000US,,United States,,3324,"Boiler, tank, and shipping container manufacturing",,2010,72214,1,3998585,53150,2533990,109785,16873318,29457832,12634573,1,691383,1
0100000US,,United States,,3325,Hardware manufacturing,,2011,24406,3,1175743,16956,608078,33047,3362268,6915044,3592899,2,109626,2
0100000US,,United States,,3325,Hardware manufacturing,,2010,25305,3,1189559,17262,589552,33600,3042696,6595664,3600433,2,83264,3
0100000US,,United States,,3326,Spring and wire product manufacturing,,2011,40444,2,1708564,31121,1057963,62368,4666760,9185837,4592085,2,227791,5
0100000US,,United States,,3326,Spring and wire product manufacturing,,2010,40316,2,1647890,30666,1005704,61303,4338878,8694944,4391889,2,177015,3
0100000US,,United States,,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",,2011,344463,1,17143767,261248,11464056,533571,24695973,63473605,39468847,1,3088820,3
0100000US,,United States,,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",,2010,315715,1,15295317,238942,10130421,487449,20698693,54391345,34264964,1,2407194,5
0100000US,,United States,,3328,"Coating, engraving, heat treating, and allied activities",,2011,113927,2,5062997,87400,3298716,178999,11180630,27069190,16147485,1,971099,6
0100000US,,United States,,3328,"Coating, engraving, heat treating, and allied activities",,2010,107550,2,4627862,82484,2990800,165194,10223804,24116062,13894076,1,559211,10
